rpt_title,menu_id,standard,select_scr,query,form_name,summaryflg,workareas,globl_vars,messagelin,comment,entered_by,lupdate
"Contacts Sorted By Name","Marketing Reports",T,"CNTCTSEL.SPR","SELECT ;||	contact_no, ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(MLINE(po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(po_addr, 2), 35) AS po_addr2, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	country, ;||	phone, ;||	phone2, ;||	email, ;||	web_ur","MAILLIST.FRX",F,3,"","Generates a list of selected contacts sorted by company and contact name.","Generates the mailing list in report form.  Contacts are listed alphabetically by company then last name.","***",9/10/1997
"Contacts Sorted By Zip Code","Marketing Reports",T,"CNTCTSEL.SPR","SELECT ;||	contact_no, ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(MLINE(po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(po_addr, 2), 35) AS po_addr2, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	country, ;||	email, ;||	web_url, ;||	phone, ;||	phone","MAILLIST.FRX",F,3,"","Generates a list of selected contacts sorted by zip_code","Generates mailing list in report form.  Contacts are listed in zip code, company, last name, first name order.","***",9/10/1997
"Contacts for Current Title","Title Status",T,"DATE_SEL.SPR","SELECT ;||		suppl.company AS scompany, ;||		suppl.last_name AS slast_name, ;||		suppl.first_name AS sfirst_nam, ;||		title.supplierno, ;||		title.isbn, ;||		cust.first_name, ;||		cust.last_name, ;||		cust.company, ;||		PADR(cust.po_addr, 70) AS po_addr,","MAILTITL.FRX",T,5,"","Reports customers who have ordered selected titles.","Modified 6/26/200 to eliminate backordered and cancelled items.","***",6/26/2000
"Contacts with Customer Codes","Marketing Reports",T,"CNTCTSEL.SPR","SELECT ;||	contact.contact_no, ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(MLINE(po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(po_addr, 2), 35) AS po_addr2, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	country, ;||	email, ;||	web_url, ;||	phone, ;","MAILCODE.FRX",F,3,"","Generates a list of selected contacts with their customer codes sorted by company and contact name.","","***",4/11/2000
"Cost of Goods Sold","Inventory Reports",T,"TITLESEL.SPR","SELECT title.title_id, ;||	title.title, ;||	title.isbn, ;||	title.supplierno, ;||	title.ret_price, ;||	title.OutOfPrint, ;||	get_titlcost(title.title_id, title.consignmnt, title.ret_price) AS Cost, ;||  	inv_tran.transactno, ;||  	inv_tran.trans_date, ;|","COGS.FRX",F,4,"","Reports the count and cost of selected titles that were "released" from inventory.","Cost of Goods Sold is based solely on the first title cost record associated with each title.","***",11/23/2004
"Cost of Goods Sold from History","Inventory Reports",T,"TITLESEL.SPR","SELECT title.title_id, ;||	title.title, ;||	title.isbn, ;||	title.supplierno, ;||	title.OutOfPrint, ;||	ordritem.item_no, ;||	ordritem.consignmnt, ;||  	inv_tran.transactno, ;||  	inv_tran.trans_date, ;||  	inv_tran.condition, ;||  	inv_tran.inv_state, ;","COGS2.FRX",F,4,"","Reports the count and cost of selected titles that were "released" from inventory.","This version of COGS is based on a complete history of purchases and consignment cost liability transactions.","***",11/30/2005
"Credit Balances Report","Report Receivables",T,"RECVABLS.SPR","SELECT SUM(ldgrtran.amount) AS balance, ;||				MAX(ldgrtran.trans_date) AS as_of_date, ;||				contact.company, ;||				contact.last_name, ;||				contact.first_name, ;||				contact.city, ;||				contact.state_abbr, ;||				contact.zip_code, ;||				contact.ph","ACCTLIST.FRX",F,4,"","Generates a reports of all customer accounts with a credit balance.","","***",1/6/2000
"Credit Card Report","Report Receivables",T,"DATE_SEL.SPR","SELECT receipt.*, ;||		contact.company, ;||		contact.last_name, ;||		contact.first_name ;|| FROM receipt, recptype, contact ;|| WHERE recptype.recpt_type = receipt.recpt_type ;||	AND recptype.creditcard ;|| 	AND contact.contact_no = receipt.customerno ;|","CREDTCRD.FRX",F,5,"","Generates a report of credit card receipts sorted by credit card type.","","***",3/26/1998
"Credit Memo","Print Receipt",T,"","SELECT * FROM receipt ;||	WHERE receipt_no = m.receipt_no ;||	INTO CURSOR credit","CREDITMEMO.FRX",F,5,"","","","***",9/24/2009
"Customer Account History","Print Receipt",T,"DATE_SEL.SPR","SELECT ldgrtran.*, ;||	PADR(get_cust_po(order_key), 12) AS cust_po_no, ;||	PADR(getinvoice(order_key), 13) AS invoicestr, ;|| 	PADR(getrcptdet(receipt_no),40) AS rcptdetail, ;||	contact.company, ;||	contact.last_name, ;||	contact.first_name ;|| FROM ldgr","ACCOUNTS.FRX",F,4,"","Generates a reports of all accounts receivables.","Lists the selected accounts with an account type of "A".  The report shows the detailed revenue transactions and the balance for each account.","***",10/14/1999
"Customer History Summary","Customer History Rep",T,"","	SELECT order_type, ;||		order_no, ;||		invoice_no, ;||		order_date, ;||		IIF(order_type = "C", total, -total) AS total, ;||		comment||	 FROM orders ;||	 WHERE customerno = m.customerno;||	 INTO CURSOR custhist||||","CUSTHIST.FRX",T,5,"balance, balance30, balance60, balance90, balance120","Presents a summary of the customer's ordering history.","","***",9/10/1997
"Customer Order History Detail","Report Receivables",T,"ORDERSEL.SPR","	SELECT orders.*, ;||		ordritem.*, ;||		IIF(order_type = "C", quantity, -quantity) AS orderqty ;||	 FROM orders, ordritem ;||	 WHERE orders.order_type != "P" ;||	   AND ordritem.order_key = orders.order_key ;||	   AND orders.order_key != 0 ;||	   AND ord","CUSTHST2.FRX",F,5,"","Lists the invoices, items, and payment history for the selected customers.","","***",9/10/1997
"Customer Receipts History","Report Receivables",T,"RECPTSEL.SPR","SELECT *;|| FROM receipt LEFT JOIN ordercpt;||   ON ordercpt.receipt_no = receipt.receipt_no ;|| WHERE recpt_date >= m.start_date ;||   AND recpt_date <= m.end_date ;||   <<select_str>> ;|| ORDER BY receipt.receipt_no ;|| INTO CURSOR custrcpt||","CUSTRCPT.FRX",F,0,"","Lists the customer receipts and the invoices to which they were applied.","","***",9/10/1997
"Deductions History by Account","Report Payables",T,"PAYABLES.SPR","SELECT * FROM ldgrtran, contact ;||  WHERE contact.contact_no = ldgrtran.account_no ;||	AND ldgrtran.acct_type = "L" ;||	AND transevent = "PAYMENT" ;||	AND ldgrtran.trans_date >= m.start_date ;||	AND ldgrtran.trans_date <= m.end_date ;||	<<select_str>> ;","PAYMENT.FRX",F,0,"","Reports payments organized by transaction types, (i.e. expense accounts).","","***",6/8/2009
"Directory of Contacts","Marketing Reports",T,"CNTCTSEL.SPR","SELECT ;||	PADR(alpha(IIF(EMPTY(company), last_name, company)), 3) AS alpha, ;||	IIF(EMPTY(company), last_name, company) AS sort1, ;||	contact_no, ;||	first_name, ;||	last_name, ;||	company, ;||	po_addr, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	countr","DIRECTRY.FRX",F,3,"","Generates a list of selected contacts sorted by company and contact name.","Generates the mailing list in report form.  Contacts are listed alphabetically by company then last name.","***",11/28/2000
"Envelope","Mailing Label",T,"","SELECT * FROM contact ;||  WHERE contact_no = m.contact_no ;||  INTO CURSOR curcntct","ENVELOPE.FRX",F,1,"","Prints an envelope for the current contact.  Change to a landscape printer setup!","The contacts postal address is printed on the envelope.  The owner contact's business address is the return address.","***",9/10/1997
"Error Report","Error Reports",T,"","SELECT *;|| FROM ERROR;|| ORDER BY ERROR.ERROR_DATE DESCENDING, ERROR.ERROR_TIME DESCENDING;|| INTO CURSOR ERRORLOG||","ERRORLOG.FRX",F,4,"","","","***",9/10/1997
"Exp Det to Publishers Storage & Shipping","Print Batch",T,"","	SELECT "D" AS Detail, ;||		invoice_str(order_no, invoice_no) AS invoice_no, ;||		ordritem.title_id AS BookCode, ;||		PADR(IIF(ISNULL(author_no), SPACE(20), get_name(author_no, 20)), 20) AS author, ;||		LEFT(title, 30) AS title, ;||		PADR(ALLTRIM(TRANSFO","PSSDETAIL.FRX",F,5,"","Generates a detail file suitable for emailing to Publishers Storage and Shipping.","","***",12/4/2002
"Exp Hdr to Publishers Storage & Shipping","Print Batch",T,"","	SELECT "H" AS Header, ;||		invoice_str(order_no, invoice_no) AS invoice_no, ;||		"1234" AS account_id, ;||		courier, ;||		"SHDOME" AS ShipType, ;||		DTOC(order_date) AS order_date, ;||		PADR(ALLTRIM(ShipTo.first_name) + " " + ALLTRIM(ShipTo.last_name),","PSSHEADER.FRX",F,5,"","Generates a header file suitable for emailing to Publishers Storage and Shipping.","","***",12/4/2002
"Export Active Inventory by ISBN","Inventory Reports",T,"TITLESEL.SPR","SELECT PADR(STRTRAN(STRTRAN(title.ISBN, "-"), " "), 20) AS cISBN, ;||	PADL(ALLTRIM(STR(SUM(inv_tran.quantity))), 5, "0") AS cInvCount, ;||	PADL(ALLTRIM(STR(title.carton_cnt)), 4, "0") AS cCartonCnt ;|| FROM title ;||   LEFT JOIN inv_tran ON UPPER(inv_tra","EXPORTINV.FRX",F,3,"","Use File, Export, SDF to produce a listing of ISBN's and their inventory counts that is suitable for sending to Indigo.","This report depends on the Courier font to export the results of the report--rather than exporting the data.  This allows the data elements to remain separate.","***",1/16/2006
"Export Active Subscription Addresses","Print Subscriptions",T,"SUBSCSEL.SPR","SELECT DISTINCT ;||	contact.contact_no  , ;||	contact.company     , ;||	contact.first_name  , ;||	contact.last_name   , ;||	PADR(MLINE(contact.po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(contact.po_addr, 2), 35) AS po_addr2, ;||	PADR(MLINE(contact.cour_","EXP_MAIL.FRX",F,5,"","Generates mailing labels for active subscribers.","This report has no query of its own.  It depends on the data being selected from the Process Subscriptions Screen from which it is called.","***",4/26/2007
"Export Contacts","",T,"CNTCTSELV5.SCX","SELECT * ;||	FROM contact ;||	WHERE contact_no > 0 ;||		AND !exclude ;||		<<SELECT_STR>> ;||	GROUP BY contact.contact_no ;||	ORDER BY company,last_name, first_name ;||	INTO CURSOR ExportContacts||","MAILLIST.FRX",F,0,"","Used by the Export Contact Wizard.","","***",3/11/2005
"Export Credit Card Charges","Report Receivables",T,"DATE_SEL.SPR","SELECT "C1" AS trans_type, ;||		receipt.entered_by, ;||		PADR(ALLTRIM(STR(receipt.customerno)), 10) AS customerno, ;||		PADR(STRTRAN(STRTRAN(receipt.crcrd_acct, "-"), " "), 17) AS crcrd_acct, ;||		STRTRAN(STR(MONTH(crcrdexpdt), 2) + STR(MOD(YEAR(crcrdexp","EXPCRCRD.FRX",F,5,"","Generates a report of credit card receipts sorted by credit card type.","","***",7/12/2000
"Export Inactive Inventory by ISBN","Inventory Reports",T,"TITLESEL.SPR","SELECT PADR(STRTRAN(STRTRAN(title.ISBN, "-"), " "), 20) AS cISBN, ;||	PADL(ALLTRIM(STR(SUM(inv_tran.quantity))), 5, "0") AS cInvCount, ;||	PADL(ALLTRIM(STR(title.carton_cnt)), 4, "0") AS cCartonCnt ;|| FROM title ;||   LEFT JOIN inv_tran ON UPPER(inv_tra","EXPORTINV.FRX",F,3,"","Use File, Export, SDF to produce a listing of ISBN's and their inventory counts that is suitable for sending to Indigo.","This report depends on the Courier font to export the results of the report--rather than exporting the data.  This allows the data elements to remain separate.","***",1/16/2006
"Export Inventory Movements","Inventory Reports",T,"TITLESEL.SPR","SELECT title_id, ;||	location, ;||	condition, ;||	title, ;||	isbn, ;||	isbn13, ;||	SUM(nPrior) AS nPrior, ;||	SUM(nReceive) AS nReceive, ;||	SUM(nShip) AS nShip, ;||	SUM(nReturn) AS nReturn, ;||	SUM(nAdjust) AS nAdjust, ;||	SUM(nOrphaned) AS nOrphaned, ;","EXPORTINV3.FRX",F,3,"","Use File, Export, SDF to produce a listing of ISBN's and their inventory counts that is suitable for sending to Indigo.","This report depends on the Courier font to export the results of the report--rather than exporting the data.  This allows the data elements to remain separate.","***",9/2/2008
"Export Invoices","",T,"ORDERSELV5.SCX","SELECT * ;||   FROM orders ;||   WHERE order_type = "C" ;||     AND order_date >=m.start_date ;||     AND order_date <=m.end_date ;||   <<SELECT_STR>> ;||   ORDER BY order_no, invoice_no ;||   INTO cursor invoices","INVLIST.FRX",F,5,"","Gathers invoices for exporting.","","***",12/7/2004
"Export Mailing List","Marketing Reports",T,"CNTCTSEL.SPR","SELECT ;||	contact_no  , ;||	company     , ;||	first_name  , ;||	last_name   , ;||	PADR(MLINE(po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(po_addr, 2), 35) AS po_addr2, ;||	PADR(MLINE(cour_addr, 1), 35) AS cour_addr1, ;||	PADR(MLINE(cour_addr, 2), 35) AS","EXP_MAIL.FRX",F,3,"","Generates a list of selected contacts sorted by zip_code","Generates mailing list in report form.  Contacts are listed in zip code, company, last name, first name order.","***",9/15/1999
"Export Shipping Addresses","Print Batch",T,"","SELECT DISTINCT ;||	PADR(IIF(EMPTY(cust_po_no), "", "P.O.# ") + cust_po_no, 23) ;||		AS special, ;||	contact_no  , ;||	company     , ;||	first_name  , ;||	last_name   , ;||	PADR(MLINE(po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(po_addr, 2), 35) AS po_ad","EXP_MAIL.FRX",F,5,"","Gathers for exporting the shipping addresses for the invoices in the print batch.","","***",9/15/1999
"Export Subscr. Renewal Address","Marketing Reports",T,"SUBSCSEL.SPR","SELECT DISTINCT ;||	contact.contact_no  , ;||	contact.company     , ;||	contact.first_name  , ;||	contact.last_name   , ;||	PADR(MLINE(contact.po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(contact.po_addr, 2), 35) AS po_addr2, ;||	PADR(MLINE(contact.cour_","EXP_MAIL.FRX",F,5,"","Generates mailing labels for active subscribers.","This report has no query of its own.  It depends on the data being selected from the Process Subscriptions Screen from which it is called.","***",9/15/1999
"Export Titles","",T,"TITLESELV5.SCX","SELECT * ;||	FROM title ;||	WHERE !EMPTY(title_id) ;||		<<Select_Str>> ;||	ORDER BY title_id ;||	INTO CURSOR ExportTitles","TITLEID.FRX",F,0,"","Used by the Export Titles Wizard.","","***",3/18/2005
"Export to UPS Worldship","Print Batch",T,"","SELECT ;||	"N" AS void, ;||	PADR( ;||		IIF(UPPER(courier)==PADR("UPS", 25), ;||			"Ground", ;||			ALLTRIM(STRTRAN(courier, "UPS "))), ;||		21) AS servicetyp, ;||	STR(ShipWeight, 6, 1) AS ShipWeight, ;||	PADR(invoice_str(orders.order_no, orders.invoice_no","EXP_UPS.FRX",F,5,"","This exports to UPS Online Worldship, but allows you to modify the query as needed.","","***",1/21/2009
"Gross Profit by Invoice","Sales Reports",T,"ORDERSEL.SPR","SELECT UPPER(contact.company) AS sort1, ;||	UPPER(contact.last_name) AS sort2, ;||	UPPER(contact.first_name) AS sort3, ;||	orders.order_key, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.customerno, ;||	orders.order_date, ;||	orders.ship_date, ;","GROSSPROFIT.FRX",T,5,"","Reports Gross Profit (price charged less cost) for invoices sorted by customer.","CHANGE 09/10/2001 -- Added the TITLE file to the selection in order to determine the current consignment status of a title.  Otherwise, when a new title cost is entered for a title that was previously NOT marked as "consignment", the GET_TITLCOST functio","***",9/10/2001
"Incorrect Invoice Status","None",T,"","SELECT orders.*, badstatus.order_paid ;||  FROM orders, badstatus ;||  WHERE orders.order_key = badstatus.order_key ;||  INTO CURSOR badstatrpt","INVLIST2.FRX",F,0,"","","This report is called exclusively from the Order Status Data Integrity Test.  It depends on the existence of data in the BADSTATUS cursor or data file.","***",12/2/1997
"Ingram Export","Sales Reports",T,"ORDERSEL.SPR","SELECT ;||        orders.order_no AS invno, ;||		orders.order_date AS invdte, ;||		orders.cust_po_no AS po, ;||        ordritem.quantity AS qtyshp, ;||		ordritem.price, ;||		orders.discount + ordritem.discount AS discount, ;||        ordritem.quantity *","INGRAMEXPORT.FRX",F,5,"","Reports items for selected orders for the purposes of exporting in a format specified by Ingram.","This report is intended to collect the data to be exported for Ingram.  It depends on the user selecting ONLY Ingram orders.","***",2/3/2010
"Inventory Corrections Report","Inventory Reports",T,"TITLESEL.SPR","SELECT title.title_id, ;||	title.title, ;||	title.isbn, ;||	title.supplierno, ;||	ordritem.item_state, ;||	ordritem.comment, ;||	ordritem.order_date, ;||  	inv_tran.transactno, ;||  	inv_tran.trans_date, ;||  	inv_tran.item_no, ;||  	inv_tran.condition,","INVCORRECTIONS.FRX",F,4,"","Reports inventory transactions for selected inventory corrections.","","***",11/16/2005
"Inventory Corrections w/ Duplicates","None",T,"","SELECT * FROM Adjust ;||  WHERE item_no IN (select item_no FROM duplitems) AND inv_state != "I" ;||  ORDER BY title_id, condition, inv_state, location, item_no ;||  INTO CURSOR duplicates||","INVCORRECTIONS.FRX",T,0,"","Reports the inventory corrections found that have duplicate inventory transactions.","","***",11/16/2005
"Inventory Movements Detail","Inventory Reports",T,"TITLESEL.SPR","SELECT inv_tran.title_id, ;||	inv_tran.location, ;||	inv_tran.condition, ;||	PADR(title.title, 70) AS title, ;||	title.isbn, ;||	title.isbn13, ;||	0000000.00 + SUM(inv_tran.quantity) AS nPrior, ;||	0000000.00 AS nReceive, ;||	0000000.00 AS nShip, ;||	000","EXPORTINV3.FRX",F,3,"","Use File, Export, SDF to produce a listing of ISBN's and their inventory counts that is suitable for sending to Indigo.","This report depends on the Courier font to export the results of the report--rather than exporting the data.  This allows the data elements to remain separate.","***",3/10/2010
"Inventory Movements Report","Inventory Reports",T,"TITLESEL.SPR","SELECT * ;||  FROM title ;||  WHERE NOT EMPTY(title_id) ;||    AND inventory ;||    <<SELECT_STR>> ;||  INTO CURSOR InvMovemnt ;||  ORDER BY title_id","SALESINV.FRX",F,4,"inv_array","Reports summary of inventory transactions on each title and condition.","","***",12/4/1997
"Inventory Post DIT Comparison","Inventory Reports",T,"","SELECT PADR(inv2.title_id, 20) AS title_id, ;||	inv2.inv_state, ;||	inv2.location, ;||	inv2.condition, ;||	000000000000.00 AS OldCount, ;||	SUM(inv2.quantity) AS NewCount ;||  FROM inv_tran AS inv2 ;||	LEFT JOIN title ON UPPER(title.title_id) == UPPER(in","INVDITCOMPARE.FRX",F,0,"","Compares inventory counts from before and after running the Rebuild Inventory History Data Integrity Test.","This report is meaningless if other transactions have been entered since the DIT was run.","***",1/7/2010
"Inventory Sorted by Author","Inventory Reports",T,"TITLESEL.SPR","SELECT UPPER(contact.company) as company, ;||	IIF(ISNULL(contact.last_name), SPACE(15), UPPER(contact.last_name)) AS last_name, ;||	UPPER(contact.first_name) AS first_name, ;||	UPPER(PADR(title.title, 70)) AS Descript, ;||	title.* ;|| FROM title||   LEFT","INVSUMR3.FRX",F,4,"","Reports local inventory count for all titles.","","***",4/17/2000
"Inventory Sorted by Title","Inventory Reports",T,"TITLESEL.SPR","SELECT UPPER(contact.company) as company, ;||	IIF(ISNULL(contact.last_name), SPACE(15), UPPER(contact.last_name)) AS last_name, ;||	UPPER(contact.first_name) AS first_name, ;||	UPPER(PADR(title.title, 70)) AS Descript, ;||	title.*, ;||	PADR(title.comment","INVSUMR3.FRX",F,4,"","Reports local inventory count for all titles.","","***",4/17/2000
"Inventory Status Export","Inventory Reports",T,"TITLESEL.SPR","SELECT UPPER(contact.company) AS company, ;||	UPPER(contact.last_name) AS last_name, ;||	UPPER(contact.first_name) AS first_name, ;||	title.title_ID, ;||	PADR(title.title, 70) AS title, ;||	title.isbn, ;||	title.supplierno, ;||	title.consignmnt, ;||	titl","INVSUMR2.FRX",F,4,"","Gathers inventory status data for the purposes of exporting.","Prepared for Cardinal Publishing 09/27/04.||Note that because the quantity sold is included, multiple locations are allowed in the selection.","***",9/27/2004
"Inventory Status for Supplier","PO Status",T,"DATE_SEL.SPR","SELECT ;||	title.title_id, ;||	title.title, ;||	title.isbn, ;||	title.supplierno, ;||	inv_tran.transactno, ;||	inv_tran.trans_date, ;||	inv_tran.item_no, ;||  	inv_tran.condition, ;||  	inv_tran.inv_state, ;||	inv_tran.quantity, ;||  	inv_tran.location ;","INVSTAT4.FRX",T,5,"","Reports local inventory counts for titles from the current supplier.","","***",9/10/1997
"Inventory for Missing Titles","Inventory Reports",T,"TITLESEL.SPR","SELECT inv_tran.title_id, ;||	PADR("Missing title: " + get_istate(inv_state), 35) AS title, ;||	"          " AS isbn, ;||	m.ownercntct AS supplierno, ;||	0000000.00 AS ret_price, ;||	.T. AS OutOfPrint, ;||	get_titlcost(title.title_id, title.consignmnt, t","INVSTATUS.FRX",F,4,"","Reports the titles that have inventory history but are no longer in the title table.","","***",12/2/2005
"Invoice","Print Invoice",T,"","SELECT PADR(UPPER(ordritem.title), 70) AS title2, ;||	orders.*, ;||	ordritem.*, ;||	title.isbn, ;||	title.isbn13, ;||	orders.order_date AS reportdate ;|| FROM orders ;||   LEFT JOIN ordritem ON ordritem.order_key = orders.order_key ;||   LEFT JOIN title","INVOICE.FRX",F,5,"balance, balance30, balance60, balance90, balance120","Generates an invoice for the currently displayed customer invoice.","This reports generates an individual invoice for the currently displayed customer order from the CUSTORDR screen.","***",5/4/2007
"Invoice Envelope","Print Invoice",T,"","SELECT * ;||  FROM contact ;||  WHERE contact_no = m.customerno ;||  INTO CURSOR curcntct","ENVELOPE.FRX",F,5,"","Prints an envelope for the current invoice.  Change to a landscape printer setup!","This reports generates an individual invoice for the currently displayed customer order from the CUSTORDR screen.","***",10/2/2002
"Invoice Inventory Transactions","Print Invoice",T,"","SELECT orders.order_no, ordritem.title_id, ;||	ordritem.title, ordritem.quantity, inv_tran.* ;|| FROM orders, ordritem, inv_tran ;|| WHERE ordritem.order_key = orders.order_key;||   AND orders.order_key = m.order_key;||   AND inv_tran.item_no = ordritem.","INV_TRAN.FRX",F,4,"","Lists inventory transactions for the ordered items.","","***",9/10/1997
"Invoice List","Sales Reports",T,"ORDERSEL.SPR","SELECT orders.*,  ;||	SUM(IIF(ISNULL(ordercpt.order_paid), 0000000.00, ordercpt.order_paid)) AS paid_amt ;||  FROM orders ;||   	LEFT JOIN ordercpt ON ordercpt.order_key = orders.order_key ;||  WHERE orders.order_type = "C" ;||	AND orders.ship_date >=m.s","INVLIST.FRX",F,5,"","A chronological list of invoices for the selected date range.","","***",9/30/1997
"Invoice with Account Summary","Print Invoice",T,"","SELECT PADR(UPPER(ordritem.title), 70) AS title2, ;||	orders.*, ;||	ordritem.*, ;||	title.isbn, ;||	title.isbn13, ;||	orders.order_date AS reportdate ;|| FROM orders ;||   LEFT JOIN ordritem ON ordritem.order_key = orders.order_key ;||   LEFT JOIN title","INVOICE2A.FRX",F,5,"balance, balance30, balance60, balance90, balance120","Generates an invoice for the currently displayed customer invoice.","This reports generates an individual invoice for the currently displayed customer order from the CUSTORDR screen.","***",9/19/2006
"Invoices","Print Batch",T,"","SELECT PADR(UPPER(ordritem.title), 70) AS title2, ;||	orders.*, ;||	ordritem.*, ;||	title.isbn, ;||	title.isbn13, ;||	orders.order_date AS reportdate ;|| FROM orders ;||   LEFT JOIN ordritem ON ordritem.order_key = orders.order_key ;||   LEFT JOIN title","INVOICE.FRX",F,5,"balance, balance30, balance60, balance90, balance120","Prints invoices for the current batch of customer invoices.","The report form INVOICE.FRX generates the invoices either for an individual order or for the selected batch of shipments.","***",9/19/2006
"Invoices with Account Summary","Print Batch",T,"","SELECT PADR(UPPER(ordritem.title), 70) AS title2, ;||	orders.*, ;||	ordritem.*, ;||	title.isbn, ;||	title.isbn13, ;||	orders.order_date AS reportdate ;|| FROM orders ;||   LEFT JOIN ordritem ON ordritem.order_key = orders.order_key ;||   LEFT JOIN title","INVOICE2A.FRX",F,5,"balance, balance30, balance60, balance90, balance120","Prints invoices for the current batch of customer invoices.","The report form INVOICE.FRX generates the invoices either for an individual order or for the selected batch of shipments.","***",9/19/2006
"Item Receipts","Report Receivables",T,"ORDERSEL.SPR","SELECT ordritem.item_no, ;||	ordritem.title_id, ;||	ordritem.title, ;||	title.isbn, ;||	orders.order_key, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.terms, ;||	orders.order_date, ;||	orders.ship_date, ;||	orders.customerno, ;||	get_name(order","ITEMRCPTS.FRX",F,4,"","Presents the funds that have been applied to each items for selected orders.","","***",10/27/2005
"Items That Cross Royalty Thresholds","Report Payables",T,"TITLESEL.SPR","SELECT MAX(ordritem.item_no), ;||	ordritem.quantity, ;||	ordritem.order_key, ;||	ordritem.order_date, ;||	00000000.00 + numbersold(ordritem.title_id, ordritem.item_no) AS numbersold, ;||	ryltyspc.spec_no, ;||	ryltyspc.threshold, ;||	r2.spec_no AS spec2,","ITEMSXTHRESHOLD.FRX",F,0,"","Reports items whose quantities cross a royalty specification's threshhold for the number sold.","","***",3/6/2009
"Labels by Codes and Title Purchased","Marketing Reports",T,"TITLECODESEL.SPR","SELECT DISTINCT title.title_id AS special, ;||	title.supplierno, ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(po_addr, 70) AS po_addr, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	PADR(MLINE(cour_addr, 1), 35) AS cour_addr1, ;||	PADR(MLINE(cour_ad","LASERX3.LBX",F,5,"","Prints labels for customers who have ordered selected titles and are identified with selected customer or marketing codes.","","***",6/24/2010
"Labels by Name","Marketing Reports",T,"CNTCTSEL.SPR","SELECT " " AS special, ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(MLINE(po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(po_addr, 2), 35) AS po_addr2, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	country, ;||	PADR(addr_str(), 210) AS address ;||  FR","LASERX3.LBX",F,5,"order_bal","Generates mailing labels for selected contacts in zip code order.","","***",3/4/2010
"Labels by Titles Purchased","Marketing Reports",T,"TITLESEL.SPR","SELECT DISTINCT title.title_id AS special, ;||	title.supplierno, ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(po_addr, 70) AS po_addr, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	PADR(MLINE(cour_addr, 1), 35) AS cour_addr1, ;||	PADR(MLINE(cour_ad","LASERX3.LBX",F,5,"","Prints labels for customers who have ordered selected titles.","Modified 6/26/200 to eliminate backordered and cancelled items.","***",4/16/2003
"Labels by Zip Code","Marketing Reports",T,"CNTCTSEL.SPR","SELECT " " AS special, ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(MLINE(po_addr, 1), 35) AS po_addr1, ;||	PADR(MLINE(po_addr, 2), 35) AS po_addr2, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	country, ;||	PADR(addr_str(), 210) AS address ;||  FR","LASERX3.LBX",F,5,"order_bal","Generates mailing labels for selected contacts in zip code order.","","***",9/3/2008
"Labels for Author's Customers","Marketing Reports",T,"AUTHORSE.SPR","SELECT DISTINCT ;||	"" AS Special, ;||	first_name, ;||	last_name, ;||	company, ;||	PADR(po_addr, 70) AS po_addr, ;||	city, ;||	state_abbr, ;||	zip_code, ;||	PADR(MLINE(cour_addr, 1), 35) AS cour_addr1, ;||	PADR(MLINE(cour_addr, 2), 35) AS cour_addr2, ;||","LASERX3.LBX",F,5,"","Prints labels for customers who have ordered selected titles.","Modified 6/26/200 to eliminate backordered and cancelled items.","***",4/16/2003
"Labels on Partially Used Sheet","Marketing Reports",T,"CNTCTSEL.SPR","SELECT TOP (nLabelCount) ;||	"***" AS special, ;||	contact_no, ;||	SPACE(LEN(first_name)) AS first_name, ;||	SPACE(LEN(last_name)) AS last_name, ;||	SPACE(LEN(company)) AS company, ;||	SPACE(35) AS po_addr1, ;||	SPACE(35) AS po_addr2, ;||	SPACE(LEN(city)","LASERX3.LBX",F,5,"order_bal","Generates mailing labels for selected contacts in zip code order.","","***",3/13/2003
